UniqueID,CollegeID,PrefNumber,Gender,Caste
1115619330,147,1,BOYS,SC
7433256962,174,1,BOYS,BC
1076592646,34,1,GIRLS,BC
4981653513,36,1,GIRLS,BC
9963405323,345,1,GIRLS,SC
5196578828,187,1,GIRLS,SC
7236943884,169,1,BOYS,SC
4568514578,203,6,BOYS,BC
5294129176,344,1,GIRLS,SC
2553741338,345,1,GIRLS,SC
8598814748,179,1,GIRLS,SC
6364299293,34,1,GIRLS,BC
8476131360,179,2,GIRLS,SC
8708063264,15,1,GIRLS,BC
8132493346,21,1,BOYS,SC
9963044904,167,1,GIRLS,BC
2799403050,12,1,GIRLS,BC
8281882667,276,1,GIRLS,SC
3593175085,34,1,GIRLS,BC
9063694382,146,1,BOYS,SC
6788481071,135,1,BOYS,SC
3236757552,146,1,BOYS,ST
9118351408,36,1,GIRLS,SC
9260892206,203,1,BOYS,SC
9724264498,277,1,GIRLS,BC
4374593590,11,1,BOYS,ST
3710353464,277,1,GIRLS,SC
7955841083,344,1,GIRLS,OC
4284547132,193,1,BOYS,BC
7293665341,168,1,GIRLS,SC
2937782335,35,1,GIRLS,SC
8052703297,72,1,BOYS,BC
4353425475,10,1,BOYS,BC
6670123077,308,1,GIRLS,SC
5320900681,146,1,BOYS,MINORITY
6912573516,258,1,GIRLS,BC
4669898832,82,1,GIRLS,SC
9355362384,36,1,GIRLS,SC
6389399635,193,1,BOYS,SC
2768339028,324,2,GIRLS,SC
7323975765,119,1,GIRLS,SC
2574155859,169,1,BOYS,SC
2428403799,193,1,BOYS,SC
9621602391,28,1,BOYS,SC
4064968791,169,1,BOYS,SC
2747236442,135,1,BOYS,SC
9304342616,119,1,GIRLS,SC
1544847443,193,1,BOYS,SC
8567488604,277,1,GIRLS,SC
1846870111,37,2,GIRLS,SC
9526411361,324,2,GIRLS,SC
8001978467,135,1,BOYS,SC
8730280036,135,1,BOYS,SC
4916117605,345,2,GIRLS,SC
2973237350,135,2,BOYS,SC
3460956263,203,1,BOYS,SC
8047591529,324,3,GIRLS,SC
8108540011,31,2,BOYS,SC
1138262124,193,1,BOYS,SC
8486649965,12,1,GIRLS,SC
2875719789,243,2,GIRLS,SC
1258684527,37,2,GIRLS,SC
1961197679,119,1,GIRLS,SC
3793518701,147,1,BOYS,ST
5526978674,257,1,BOYS,BC
2909700214,187,1,GIRLS,OC
1866989689,147,1,BOYS,BC
9365782652,204,1,BOYS,SC
7119077500,119,1,GIRLS,BC
4025516159,58,1,GIRLS,BC
8562999424,193,1,BOYS,BC
6018302081,135,1,BOYS,ST
1725366407,244,1,GIRLS,BC
4508188808,179,1,GIRLS,BC
8418885769,193,1,BOYS,SC
3491397770,30,1,BOYS,SC
7890108551,345,1,GIRLS,ST
2392719499,12,1,GIRLS,BC
8312553612,193,1,BOYS,BC
4707811471,258,2,GIRLS,SC
7950532752,37,3,GIRLS,BC
8342470800,204,1,BOYS,ST
5082513554,187,1,GIRLS,BC
8654520466,82,2,GIRLS,SC
4883087508,35,2,GIRLS,BC
2577694869,344,1,GIRLS,SC
7110623378,10,1,BOYS,BC
7505641623,135,1,BOYS,SC
5992317080,37,2,GIRLS,SC
1043202199,193,1,BOYS,BC
6338085022,344,1,GIRLS,ST
8323006624,11,2,BOYS,BC
5267816611,57,1,GIRLS,ST
4708040868,167,1,GIRLS,BC
7372374182,193,2,BOYS,SC
4209770663,169,1,BOYS,BC
3283353768,257,1,BOYS,BC
7566327978,193,1,BOYS,SC
9884991659,204,1,BOYS,BC
7786201259,308,1,GIRLS,SC
1464795309,193,1,BOYS,BC
7545323694,344,1,GIRLS,SC
5587927216,256,1,BOYS,BC
6177718450,147,1,BOYS,ST
5889818803,167,3,GIRLS,SC
5639471285,146,2,BOYS,SC
6482034869,324,3,GIRLS,SC
